{'DATE/TIME': '15/12/2022 22:05:49', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:21:41', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:23:57', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:34:05', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:35:17', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:40:21', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:41:11', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:41:33', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:41:49', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:42:38', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:43:08', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:43:38', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:44:21', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:44:55', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:45:27', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:45:29', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:46:53', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '16/12/2022 01:47:05', 'COI': 1340750, 'POI': 765350, 'CALL CHNG OI': -93322, 'PUT CHNG OI': -438073, 'PCR': 0.570837217975014, 'CHPCR': 4.694209296843188, 'OI Difference': -575400}
{'DATE/TIME': '17/12/2022 00:09:47', 'COI': 1435120, 'POI': 446201, 'CALL CHNG OI': 640789, 'PUT CHNG OI': 120979, 'PCR': 0.3109154635152461, 'CHPCR': 0.188796936276996, 'OI Difference': -988919}
